Province_State,Country_Region,Last_Update,Total_Confirmed_Cases,Deaths,Recovered,Active_Cases,Incidence_Rate,Case-Fatality_Ratio
,Pakistan,3/22/2020,776,4,13,759,,
,Pakistan,3/23/2020,875,6,13,856,,
,Pakistan,3/24/2020,972,7,18,947,,
,Pakistan,3/25/2020,1063,8,21,1034,,
,Pakistan,3/26/2020,1201,9,21,1171,,
,Pakistan,3/27/2020,1373,11,23,1339,,
,Pakistan,3/28/2020,1495,12,29,1454,,
,Pakistan,3/29/2020,1597,14,29,1554,,
,Pakistan,3/30/2020,1717,21,76,1620,,
,Pakistan,3/31/2020,1938,26,76,1836,,
,Pakistan,4/1/2020,2118,27,94,1997,,
,Pakistan,3/2/2020,2421,34,125,2262,,
,Pakistan,4/3/2020,2686,40,126,2520,,
,Pakistan,3/4/2020,2818,41,131,2646,,
,Pakistan,4/5/2020,3157,47,211,2899,,
,Pakistan,3/6/2020,3766,53,259,3454,,
,Pakistan,4/7/2020,4035,57,429,3549,,
,Pakistan,4/8/2020,4263,61,467,3735,,
,Pakistan,4/9/2020,4489,65,572,3852,,
,Pakistan,4/10/2020,4695,66,727,3902,,
,Pakistan,4/11/2020,5011,86,762,4163,,
,Pakistan,4/12/2020,5230,91,1028,4111,,
,Pakistan,4/13/2020,5496,93,1095,4308,,
,Pakistan,4/14/2020,5837,96,1378,4363,,
,Pakistan,4/15/2020,6383,111,1446,4826,,
,Pakistan,4/16/2020,6919,128,1645,5146,,
,Pakistan,4/17/2020,7025,135,1765,5125,,
,Pakistan,4/18/2020,7638,143,1832,5663,,
,Pakistan,4/19/2020,8348,168,1868,6312,,
,Pakistan,4/20/2020,8418,176,1970,6272,,
,Pakistan,4/21/2020,9565,201,2073,7291,,
,Pakistan,4/22/2020,10076,212,2156,7708,,
,Pakistan,4/24/2020,11155,237,2527,8391,,
,Pakistan,4/25/2020,11940,253,2755,8932,,
,Pakistan,4/26/2020,12723,269,2866,9588,,
,Pakistan,4/27/2020,13328,281,2936,10111,,
,Pakistan,4/28/2020,13915,292,3029,10594,,
,Pakistan,4/29/2020,14612,312,3233,11067,,
,Pakistan,4/30/2020,15525,343,3425,11757,,
,Pakistan,5/1/2020,16817,385,4315,12117,,
,Pakistan,5/2/2020,18114,417,4715,12982,,
,Pakistan,5/3/2020,19103,440,4817,13846,,
,Pakistan,5/4/2020,20084,457,5114,14513,,
,Pakistan,5/5/2020,20941,476,5635,14830,,
,Pakistan,5/6/2020,22049,514,5801,15734,,
,Pakistan,5/7/2020,24073,564,6464,17045,,
,Pakistan,5/8/2020,24644,585,6464,17595,,
,Pakistan,5/9/2020,26435,599,7530,18306,,
,Pakistan,5/10/2020,28736,636,7809,20291,,
,Pakistan,5/11/2020,30334,659,8063,21612,,
,Pakistan,5/12/2020,32081,706,8555,22820,,
,Pakistan,5/13/2020,34336,737,8812,24787,,
,Pakistan,5/14/2020,35298,761,8899,25638,,
,Pakistan,5/15/2020,35788,770,9695,25323,,
,Pakistan,5/16/2020,38799,834,10880,27085,,
,Pakistan,5/17/2020,38799,834,10880,27085,,
,Pakistan,5/18/2020,40151,873,11341,27937,,
,Pakistan,5/19/2020,42125,903,11922,29300,,
,Pakistan,5/20/2020,43966,939,12489,30538,,
,Pakistan,5/21/2020,45898,985,13101,31812,,
,Pakistan,5/22/2020,48091,1017,14155,32919,,
,Pakistan,5/23/2020,50694,1067,15201,34426,,
,Pakistan,5/24/2020,52437,1101,16653,34683,,
,Pakistan,5/25/2020,54601,1133,17198,36270,,
,Pakistan,5/26/2020,56349,1167,17482,37700,,
,Pakistan,5/27/2020,57705,1197,18314,38194,,
,Pakistan,5/28/2020,59151,1225,19142,38784,,
,Pakistan,5/29/2020,61227,1260,20231,39736,,
,Pakistan,5/30/2020,64028,1317,22305,40406,28.98606742,2.056912601
,Pakistan,5/31/2020,66457,1395,24131,40931,30.08569818,2.099101675
,Pakistan,6/1/2020,69496,1483,25271,42742,31.46148157,2.133935766
,Pakistan,6/2/2020,72460,1543,26083,44834,32.80331176,2.129450731
,Pakistan,6/3/2020,76398,1621,27110,47667,34.58608076,2.121783293
,Pakistan,6/4/2020,80463,1688,28923,49852,36.42634384,2.097858643
,Pakistan,6/5/2020,85264,1770,30128,53366,38.59980091,2.075905423
,Pakistan,6/6/2020,89249,1838,31198,56213,40.40384725,2.059406828
,Pakistan,6/7/2020,93983,1935,32581,59467,42.54697281,2.058882989
,Pakistan,6/8/2020,98943,2002,33465,63476,44.79241065,2.023387203
,Pakistan,6/9/2020,108317,2172,35018,71127,49.0361071,2.005225403
,Pakistan,6/10/2020,113702,2255,36308,75139,51.47394637,1.983254472
Azad Jammu and Kashmir,Pakistan,6/11/2020,444,9,217,218,10.97552113,2.027027027
Balochistan,Pakistan,6/11/2020,7031,62,2462,4507,56.95696383,0.881809131
Gilgit-Baltistan,Pakistan,6/11/2020,974,14,616,344,96.09465027,1.437371663
Islamabad,Pakistan,6/11/2020,5963,57,843,5063,297.1734879,0.955894684
Khyber Pakhtunkhwa,Pakistan,6/11/2020,14527,610,3631,10286,47.59303945,4.19907758
Punjab,Pakistan,6/11/2020,43460,807,8643,34010,39.50462258,1.85687989
Sindh,Pakistan,6/11/2020,41303,696,19896,20711,86.25267513,1.685107619
Azad Jammu and Kashmir,Pakistan,6/12/2020,534,10,237,287,13.20028892,1.872659176
Balochistan,Pakistan,6/12/2020,7673,75,2673,4925,62.15769926,0.977453408
Gilgit-Baltistan,Pakistan,6/12/2020,1030,15,673,342,101.6195994,1.45631068
Islamabad,Pakistan,6/12/2020,6699,65,1164,5470,333.8529592,0.970294074
Khyber Pakhtunkhwa,Pakistan,6/12/2020,15787,632,3907,11248,51.72102387,4.003293849
Punjab,Pakistan,6/12/2020,47382,890,9546,36946,43.06967388,1.878350428
Sindh,Pakistan,6/12/2020,46828,776,22047,24005,97.79048183,1.657128214
Azad Jammu and Kashmir,Pakistan,6/13/2020,534,10,237,287,13.20028892,1.872659176
Balochistan,Pakistan,6/13/2020,7673,75,2673,4925,62.15769926,0.977453408
Gilgit-Baltistan,Pakistan,6/13/2020,1030,15,673,342,101.6195994,1.45631068
Islamabad,Pakistan,6/13/2020,6699,65,1164,5470,333.8529592,0.970294074
Khyber Pakhtunkhwa,Pakistan,6/13/2020,15787,632,3907,11248,51.72102387,4.003293849
Punjab,Pakistan,6/13/2020,47382,890,9546,36946,43.06967388,1.878350428
Sindh,Pakistan,6/13/2020,46828,776,22047,24005,97.79048183,1.657128214
Azad Jammu and Kashmir,Pakistan,6/14/2020,574,11,242,321,14.18907461,1.916376307
Balochistan,Pakistan,6/14/2020,7866,80,2722,5064,63.72116022,1.017035342
Gilgit-Baltistan,Pakistan,6/14/2020,1044,16,676,352,103.0008366,1.53256705
Islamabad,Pakistan,6/14/2020,7163,71,1671,5421,356.9769737,0.991204802
Khyber Pakhtunkhwa,Pakistan,6/14/2020,16415,642,4072,11701,53.77846372,3.91105696
Punjab,Pakistan,6/14/2020,50087,938,17560,31589,45.52848668,1.87274143
Sindh,Pakistan,6/14/2020,49256,793,23113,25350,102.8608519,1.609956147
Azad Jammu and Kashmir,Pakistan,6/15/2020,647,13,254,380,15.99360849,2.00927357
Balochistan,Pakistan,6/15/2020,8177,85,2859,5233,66.24051959,1.03950104
Gilgit-Baltistan,Pakistan,6/15/2020,1129,16,716,397,111.3869201,1.417183348
Islamabad,Pakistan,6/15/2020,8569,78,2037,6454,427.0467245,0.910257906
Khyber Pakhtunkhwa,Pakistan,6/15/2020,18013,675,4539,12799,59.01379635,3.747293621
Punjab,Pakistan,6/15/2020,54138,1031,17710,35397,49.21079745,1.904392478
Sindh,Pakistan,6/15/2020,53805,831,25606,27368,112.3604868,1.544466128
Azad Jammu and Kashmir,Pakistan,6/16/2020,663,13,264,386,16.38912276,1.960784314
Balochistan,Pakistan,6/16/2020,8327,85,2916,5326,67.45564469,1.02077579
Gilgit-Baltistan,Pakistan,6/16/2020,1143,17,728,398,112.7681574,1.487314086
Islamabad,Pakistan,6/16/2020,8857,83,2037,6737,441.399561,0.937111889
Khyber Pakhtunkhwa,Pakistan,6/16/2020,18472,707,4692,13073,60.5175621,3.827414465
Punjab,Pakistan,6/16/2020,55878,1081,17730,37067,50.79243673,1.934571746
Sindh,Pakistan,6/16/2020,55581,853,28023,26705,116.0692912,1.534697109
Azad Jammu and Kashmir,Pakistan,6/17/2020,703,13,290,400,17.37790845,1.849217639
Balochistan,Pakistan,6/17/2020,8437,89,3023,5325,68.34673643,1.054877326
Gilgit-Baltistan,Pakistan,6/17/2020,1164,17,738,409,114.8400133,1.4604811
Islamabad,Pakistan,6/17/2020,9242,90,2439,6713,460.5865127,0.973815192
Khyber Pakhtunkhwa,Pakistan,6/17/2020,19107,731,4922,13454,62.5979352,3.825822997
Punjab,Pakistan,6/17/2020,58239,1149,17780,39310,52.93855762,1.972904755
Sindh,Pakistan,6/17/2020,57868,886,29245,27737,120.8452123,1.531070713
Azad Jammu and Kashmir,Pakistan,6/18/2020,740,15,302,423,18.29253521,2.027027027
Balochistan,Pakistan,6/18/2020,8794,93,3051,5650,71.23873417,1.057539231
Gilgit-Baltistan,Pakistan,6/18/2020,1213,18,768,427,119.6743437,1.483924155
Islamabad,Pakistan,6/18/2020,9637,94,2439,7104,480.2718268,0.975407284
Khyber Pakhtunkhwa,Pakistan,6/18/2020,19613,755,5137,13721,64.25568133,3.849487585
Punjab,Pakistan,6/18/2020,60138,1202,17825,41111,54.66472601,1.99873624
Sindh,Pakistan,6/18/2020,59983,916,29693,29374,125.2619474,1.527099345
Azad Jammu and Kashmir,Pakistan,6/19/2020,769,15,312,442,19.00940484,1.950585176
Balochistan,Pakistan,6/19/2020,8998,99,3140,5759,72.89130431,1.100244499
Gilgit-Baltistan,Pakistan,6/19/2020,1225,18,794,413,120.8582614,1.469387755
Islamabad,Pakistan,6/19/2020,9941,95,2770,7076,495.4220432,0.955638266
Khyber Pakhtunkhwa,Pakistan,6/19/2020,20182,773,5441,13968,66.11982667,3.830145674
Punjab,Pakistan,6/19/2020,61678,1265,17892,42521,56.06456768,2.050974416
Sindh,Pakistan,6/19/2020,62269,964,31034,30271,130.0357801,1.548121858
Azad Jammu and Kashmir,Pakistan,6/20/2020,803,17,317,469,19.84987267,2.117061021
Balochistan,Pakistan,6/20/2020,9162,100,3289,5773,74.21984108,1.091464746
Gilgit-Baltistan,Pakistan,6/20/2020,1253,21,816,416,123.6207359,1.675977654
Islamabad,Pakistan,6/20/2020,10279,95,2770,7414,512.2666917,0.924214418
Khyber Pakhtunkhwa,Pakistan,6/20/2020,20790,789,5623,14378,68.11174297,3.795093795
Punjab,Pakistan,6/20/2020,64216,1347,17964,44905,58.37157946,2.097608073
Sindh,Pakistan,6/20/2020,65163,1013,32725,31425,136.0792937,1.554563172
Azad Jammu and Kashmir,Pakistan,6/21/2020,813,19,336,458,20.09706909,2.33702337
Balochistan,Pakistan,6/21/2020,9328,100,3472,5756,75.56457952,1.072041166
Gilgit-Baltistan,Pakistan,6/21/2020,1278,21,837,420,126.0872311,1.643192488
Islamabad,Pakistan,6/21/2020,10662,98,4380,6184,531.3539709,0.919152129
Khyber Pakhtunkhwa,Pakistan,6/21/2020,21444,808,6063,14573,70.25436345,3.76795374
Punjab,Pakistan,6/21/2020,65739,1407,18692,45640,59.75596833,2.140282024
Sindh,Pakistan,6/21/2020,67353,1048,34112,32193,140.6526506,1.555981174
Azad Jammu and Kashmir,Pakistan,6/22/2020,845,20,348,477,20.88809764,2.366863905
Balochistan,Pakistan,6/22/2020,9475,102,3650,5723,76.75540212,1.07651715
Gilgit-Baltistan,Pakistan,6/22/2020,1288,22,865,401,127.0738291,1.708074534
Islamabad,Pakistan,6/22/2020,10912,101,4681,6130,543.8130304,0.92558651
Khyber Pakhtunkhwa,Pakistan,6/22/2020,21997,821,6536,14640,72.06608995,3.732327136
